brand_name,generic_name,drug_class,Company_Name,Study_Name,Journal,Publication_Year,Level_of_Evidence
Travatan Z,Travoprost,Prostaglandinanalog,Alcon,Travoprost 0.004% with and without Benzalkonium Chloride: Comparison of Efficacy and Safety,British Journal of Ophthalmology,2007,Level I
Brinzemic-B,Brinzolamide+ Brimonidine,carbonic Anhydrase Inhibitor+ Alpha Agonist,Alembic,Brinzolamide/Brimonidine Fixed Combination (Phase III Trial),JAMA Ophthalmology,2013,Level I
Brinzemic-B,Brinzolamide+ Brimonidine,carbonic Anhydrase Inhibitor+ Alpha Agonist,Alembic,A Randomized Trial of Brinzolamide 1%/Brimonidine 0.2% Fixed Combination Compared with Its Individual Components in Patients with Open-Angle Glaucoma or Ocular Hypertension (Phase III),JAMA Ophthalmology,2013,Level I
Travisight,Travoprost,Prostaglandinanalog,Alembic,Travoprost vs Timolol Multicenter Trial,American Journal of Ophthalmology,2001,Level I
Travisight,Travoprost,Prostaglandinanalog,Alembic,Travoprost Compared with Latanoprost and Timolol in Patients with Open-Angle Glaucoma or Ocular Hypertension,American Journal of Ophthalmology,2001,Level I
Travisight,Travoprost,Prostaglandinanalog,Alembic,Travoprost 0.004% with and without Benzalkonium Chloride: Comparison of Efficacy and Safety,British Journal of Ophthalmology,2007,Level I
Alphagan,Brimonidine,Alpha Agonist,Allergan,Brimonidine 0.2% vs Timolol 0.5% Multicenter Trial,Archives of Ophthalmology,1997,Level I
Alphagan,Brimonidine,Alpha Agonist,Allergan,Brimonidine Tartrate 0.2% Twice Daily vs Timolol 0.5% Twice Daily: 1-Year Results in Glaucoma Patients,American Journal of Ophthalmology,1999,Level I
Alphagan,Brimonidine,Alpha Agonist,Allergan,A Randomized Trial of Brimonidine versus Timolol in Preserving Visual Function: Low-Pressure Glaucoma Treatment Study (LoGTS),American Journal of Ophthalmology,2011,Level I
Alphagan Z,Brimonidine,Alpha Agonist,Allergan,Brimonidine 0.2% vs Timolol 0.5% Multicenter Trial,Archives of Ophthalmology,1997,Level I
Alphagan Z,Brimonidine,Alpha Agonist,Allergan,Brimonidine Tartrate 0.2% Twice Daily vs Timolol 0.5% Twice Daily: 1-Year Results in Glaucoma Patients,American Journal of Ophthalmology,1999,Level I
Alphagan Z,Brimonidine,Alpha Agonist,Allergan,A Randomized Trial of Brimonidine versus Timolol in Preserving Visual Function: Low-Pressure Glaucoma Treatment Study (LoGTS),American Journal of Ophthalmology,2011,Level I
Betagan,Levobunolol,Betablocker,Allergan,Levobunolol vs Timolol in Chronic Open-Angle Glaucoma,American Journal of Ophthalmology,1988,Level I
Betagan,Levobunolol,Betablocker,Allergan,Levobunolol versus Timolol in Chronic Open-Angle Glaucoma: A Multicenter Comparative Trial,American Journal of Ophthalmology,1988,Level I
COMBIGAN,Brimonidine + Timolol,Alpha Agonist+ Betablocker,Allergan,Brimonidine/Timolol Fixed Combination Study,Archives of Ophthalmology,2005,Level I
COMBIGAN,Brimonidine + Timolol,Alpha Agonist+ Betablocker,Allergan,Brimonidine/Timolol Fixed Combination versus Timolol Monotherapy in Patients with Glaucoma or Ocular Hypertension,Archives of Ophthalmology,2005,Level I
Dorcor-T,Dorzolmide+Timolol,carbonic Anhydrase Inhibitor+ Betablocker,Allergan,Dorzolamide/Timolol Fixed Combination Study Group,American Journal of Ophthalmology,1998,Level I
Dorcor-T,Dorzolmide+Timolol,carbonic Anhydrase Inhibitor+ Betablocker,Allergan,Efficacy and Safety of the Fixed Combinations Latanoprost/Timolol versus Dorzolamide/Timolol in Patients with Elevated Intraocular Pressure,Ophthalmology,2004,Level I
Dorcor-T,Dorzolmide+Timolol,carbonic Anhydrase Inhibitor+ Betablocker,Allergan,Efficacy and Safety of Fixed Combinations of Latanoprost/Timolol and Dorzolamide/Timolol in Open-Angle Glaucoma or Ocular Hypertension,Eye,2010,Level I
Ganfort,Bimatoprost + Timolol,Prostaglandinanalog+ Betablocker,Allergan,Bimatoprost/Timolol Fixed Combination vs Individual Components,Ophthalmology,2005,Level I
Ganfort,Bimatoprost + Timolol,Prostaglandinanalog+ Betablocker,Allergan,"A Double-Masked, Randomized, Parallel Comparison of a Fixed Combination of Bimatoprost 0.03%/Timolol 0.5% with Non-Fixed Combination Use in Patients with Glaucoma or Ocular Hypertension",European Journal of Ophthalmology,2007,Level I
Ganfort,Bimatoprost + Timolol,Prostaglandinanalog+ Betablocker,Allergan,"Bimatoprost/Timolol Fixed Combination: A 3-Month Double-Masked, Randomized Parallel Comparison to Its Individual Components in Patients with Glaucoma or Ocular Hypertension",Journal of Glaucoma,2008,Level I
Glucomol,Timolol,Betablocker,Allergan,Timolol Maleate: Long-term Efficacy in Chronic Open-Angle Glaucoma,Archives of Ophthalmology,1982,Level I
Glucomol,Timolol,Betablocker,Allergan,"Topical Timolol Administration Reduces the Incidence of Glaucomatous Damage in Ocular Hypertensive Individuals: A Randomized, Double-Masked, Long-term Clinical Trial",Archives of Ophthalmology,1989,Level I
Glucomol,Timolol,Betablocker,Allergan,Changing Therapy from Timolol to Betaxolol: Effect on Intraocular Pressure in Selected Patients with Glaucoma,Archives of Ophthalmology,1989,Level I
Lumigan,Bimatoprost,Prostaglandinanalog,Allergan,24-Month Bimatoprost vs Timolol Trial,American Journal of Ophthalmology,2001,Level I
Lumigan,Bimatoprost,Prostaglandinanalog,Allergan,A Six-Month Randomized Clinical Trial Comparing the Intraocular Pressure-Lowering Efficacy of Bimatoprost and Latanoprost in Patients with Ocular Hypertension or Glaucoma,American Journal of Ophthalmology,2003,Level I
Lumigan,Bimatoprost,Prostaglandinanalog,Allergan,Effect of Bimatoprost on Patients with Primary Open-Angle Glaucoma or Ocular Hypertension Who Are Nonresponders to Latanoprost,Ophthalmology,2003,Level I
Glucotim LA,Timolol,Betablocker,Centaur Pharmaceuticles,Timolol Maleate: Long-term Efficacy in Chronic Open-Angle Glaucoma,Archives of Ophthalmology,1982,Level I
Glucotim LA,Timolol,Betablocker,Centaur Pharmaceuticles,"Topical Timolol Administration Reduces the Incidence of Glaucomatous Damage in Ocular Hypertensive Individuals: A Randomized, Double-Masked, Long-term Clinical Trial",Archives of Ophthalmology,1989,Level I
Glucotim LA,Timolol,Betablocker,Centaur Pharmaceuticles,Changing Therapy from Timolol to Betaxolol: Effect on Intraocular Pressure in Selected Patients with Glaucoma,Archives of Ophthalmology,1989,Level I
9PM,Latanoprost,Prostaglandinanalog,Cipla,"A Comparison of Latanoprost, Bimatoprost, and Travoprost in Patients with Elevated Intraocular Pressure (XLT Study)",American Journal of Ophthalmology,2003,Level I
9PM,Latanoprost,Prostaglandinanalog,Cipla,Randomized Crossover Study of Latanoprost and Travoprost in Eyes with Open-Angle Glaucoma,Graefe's Archive for Clinical and Experimental Ophthalmology,2011,Level I
9PM,Latanoprost,Prostaglandinanalog,Cipla,UK Glaucoma Treatment Study (UKGTS),The Lancet,2015,Level I
Brimodin,Brimonidine,Alpha Agonist,Cipla,Brimonidine 0.2% vs Timolol 0.5% Multicenter Trial,Archives of Ophthalmology,1997,Level I
Brimodin,Brimonidine,Alpha Agonist,Cipla,Brimonidine Tartrate 0.2% Twice Daily vs Timolol 0.5% Twice Daily: 1-Year Results in Glaucoma Patients,American Journal of Ophthalmology,1999,Level I
Brimodin,Brimonidine,Alpha Agonist,Cipla,A Randomized Trial of Brimonidine versus Timolol in Preserving Visual Function: Low-Pressure Glaucoma Treatment Study (LoGTS),American Journal of Ophthalmology,2011,Level I
Brimodin P,Brimonidine,Alpha Agonist,Cipla,Brimonidine 0.2% vs Timolol 0.5% Multicenter Trial,Archives of Ophthalmology,1997,Level I
Brimodin P,Brimonidine,Alpha Agonist,Cipla,Brimonidine Tartrate 0.2% Twice Daily vs Timolol 0.5% Twice Daily: 1-Year Results in Glaucoma Patients,American Journal of Ophthalmology,1999,Level I
Brimodin P,Brimonidine,Alpha Agonist,Cipla,A Randomized Trial of Brimonidine versus Timolol in Preserving Visual Function: Low-Pressure Glaucoma Treatment Study (LoGTS),American Journal of Ophthalmology,2011,Level I
Brimodine B,Brinzolamide+ Brimonidine,carbonic Anhydrase Inhibitor+ Alpha Agonist,Cipla,Brinzolamide/Brimonidine Fixed Combination (Phase III Trial),JAMA Ophthalmology,2013,Level I
Brimodine B,Brinzolamide+ Brimonidine,carbonic Anhydrase Inhibitor+ Alpha Agonist,Cipla,A Randomized Trial of Brinzolamide 1%/Brimonidine 0.2% Fixed Combination Compared with Its Individual Components in Patients with Open-Angle Glaucoma or Ocular Hypertension (Phase III),JAMA Ophthalmology,2013,Level I
Brimolol,Brimonidine + Timolol,Alpha Agonist+ Betablocker,Cipla,Brimonidine/Timolol Fixed Combination Study,Archives of Ophthalmology,2005,Level I
Brimolol,Brimonidine + Timolol,Alpha Agonist+ Betablocker,Cipla,Brimonidine/Timolol Fixed Combination versus Timolol Monotherapy in Patients with Glaucoma or Ocular Hypertension,Archives of Ophthalmology,2005,Level I
Dorzox,Dorzolamide,carbonic Anhydrase Inhibitor,Cipla,Dorzolamide vs Betaxolol in Primary Open-Angle Glaucoma,Ophthalmology,1997,Level I
Dorzox,Dorzolamide,carbonic Anhydrase Inhibitor,Cipla,Dorzolamide Hydrochloride: A Two-Year Controlled Study of Safety and Efficacy in Patients with Glaucoma or Ocular Hypertension,Ophthalmology,1998,Level I
Dorzox,Dorzolamide,carbonic Anhydrase Inhibitor,Cipla,Comparison of Dorzolamide and Brinzolamide as Adjunctive Therapy to Timolol in Patients with Primary Open-Angle Glaucoma or Ocular Hypertension,American Journal of Ophthalmology,2000,Level I
Dorzox T,Dorzolamide + Timolol,carbonic Anhydrase Inhibitor+ Betablocker,Cipla,Dorzolamide/Timolol Fixed Combination Study Group,American Journal of Ophthalmology,1998,Level I
Dorzox T,Dorzolamide + Timolol,carbonic Anhydrase Inhibitor+ Betablocker,Cipla,Efficacy and Safety of the Fixed Combinations Latanoprost/Timolol versus Dorzolamide/Timolol in Patients with Elevated Intraocular Pressure,Ophthalmology,2004,Level I
Dorzox T,Dorzolamide + Timolol,carbonic Anhydrase Inhibitor+ Betablocker,Cipla,Efficacy and Safety of Fixed Combinations of Latanoprost/Timolol and Dorzolamide/Timolol in Open-Angle Glaucoma or Ocular Hypertension,Eye,2010,Level I
Ioprost,Latanoprost,Prostaglandinanalog,Cipla,"A Comparison of Latanoprost, Bimatoprost, and Travoprost in Patients with Elevated Intraocular Pressure (XLT Study)",American Journal of Ophthalmology,2003,Level I
Ioprost,Latanoprost,Prostaglandinanalog,Cipla,Randomized Crossover Study of Latanoprost and Travoprost in Eyes with Open-Angle Glaucoma,Graefe's Archive for Clinical and Experimental Ophthalmology,2011,Level I
Ioprost,Latanoprost,Prostaglandinanalog,Cipla,UK Glaucoma Treatment Study (UKGTS),The Lancet,2015,Level I
Optipres,Betaxolol,Betablocker,Cipla,Betaxolol vs Timolol in Primary Open-Angle Glaucoma,Archives of Ophthalmology,1988,Level I
Optipres,Betaxolol,Betablocker,Cipla,Betaxolol versus Timolol in Patients with Primary Open-Angle Glaucoma: A One-Year Multicenter Trial,American Journal of Ophthalmology,1990,Level I
Optipres,Betaxolol,Betablocker,Cipla,Long-Term Comparison of Betaxolol and Timolol in Chronic Open-Angle Glaucoma,Ophthalmology,1992,Level I
Abpress Eye,Brimonidine+ Timolol,Alpha Agonist+ Betablocker,Entod Pharmaceuticals,Brimonidine/Timolol Fixed Combination Study,Archives of Ophthalmology,2005,Level I
Abpress Eye,Brimonidine+ Timolol,Alpha Agonist+ Betablocker,Entod Pharmaceuticals,Brimonidine/Timolol Fixed Combination versus Timolol Monotherapy in Patients with Glaucoma or Ocular Hypertension,Archives of Ophthalmology,2005,Level I
Duo 2,Brinzolamide+ Brimonidine,carbonic Anhydrase Inhibitor+ Alpha Agonist,Entod Pharmaceuticals,Brinzolamide/Brimonidine Fixed Combination (Phase III Trial),JAMA Ophthalmology,2013,Level I
Duo 2,Brinzolamide+ Brimonidine,carbonic Anhydrase Inhibitor+ Alpha Agonist,Entod Pharmaceuticals,A Randomized Trial of Brinzolamide 1%/Brimonidine 0.2% Fixed Combination Compared with Its Individual Components in Patients with Open-Angle Glaucoma or Ocular Hypertension (Phase III),JAMA Ophthalmology,2013,Level I
Endor Plus,Dorzolamide + Timolol,carbonic Anhydrase Inhibitor+ Betablocker,Entod Pharmaceuticals,Dorzolamide/Timolol Fixed Combination Study Group,American Journal of Ophthalmology,1998,Level I
Endor Plus,Dorzolamide + Timolol,carbonic Anhydrase Inhibitor+ Betablocker,Entod Pharmaceuticals,Efficacy and Safety of the Fixed Combinations Latanoprost/Timolol versus Dorzolamide/Timolol in Patients with Elevated Intraocular Pressure,Ophthalmology,2004,Level I
Endor Plus,Dorzolamide + Timolol,carbonic Anhydrase Inhibitor+ Betablocker,Entod Pharmaceuticals,Efficacy and Safety of Fixed Combinations of Latanoprost/Timolol and Dorzolamide/Timolol in Open-Angle Glaucoma or Ocular Hypertension,Eye,2010,Level I
Ocudor T,Dorzolamide + Timolol,carbonic Anhydrase Inhibitor+ Betablocker,Entod Pharmaceuticals,Dorzolamide/Timolol Fixed Combination Study Group,American Journal of Ophthalmology,1998,Level I
Ocudor T,Dorzolamide + Timolol,carbonic Anhydrase Inhibitor+ Betablocker,Entod Pharmaceuticals,Efficacy and Safety of the Fixed Combinations Latanoprost/Timolol versus Dorzolamide/Timolol in Patients with Elevated Intraocular Pressure,Ophthalmology,2004,Level I
Ocudor T,Dorzolamide + Timolol,carbonic Anhydrase Inhibitor+ Betablocker,Entod Pharmaceuticals,Efficacy and Safety of Fixed Combinations of Latanoprost/Timolol and Dorzolamide/Timolol in Open-Angle Glaucoma or Ocular Hypertension,Eye,2010,Level I
Timol-P,Timolol,Betablocker,Entod Pharmaceuticals,Timolol Maleate: Long-term Efficacy in Chronic Open-Angle Glaucoma,Archives of Ophthalmology,1982,Level I
Timol-P,Timolol,Betablocker,Entod Pharmaceuticals,"Topical Timolol Administration Reduces the Incidence of Glaucomatous Damage in Ocular Hypertensive Individuals: A Randomized, Double-Masked, Long-term Clinical Trial",Archives of Ophthalmology,1989,Level I
Timol-P,Timolol,Betablocker,Entod Pharmaceuticals,Changing Therapy from Timolol to Betaxolol: Effect on Intraocular Pressure in Selected Patients with Glaucoma,Archives of Ophthalmology,1989,Level I
Iobet,Betaxolol,Betablocker,FDC ltd.,Betaxolol vs Timolol in Primary Open-Angle Glaucoma,Archives of Ophthalmology,1988,Level I
Iobet,Betaxolol,Betablocker,FDC ltd.,Betaxolol versus Timolol in Patients with Primary Open-Angle Glaucoma: A One-Year Multicenter Trial,American Journal of Ophthalmology,1990,Level I
Iobet,Betaxolol,Betablocker,FDC ltd.,Long-Term Comparison of Betaxolol and Timolol in Chronic Open-Angle Glaucoma,Ophthalmology,1992,Level I
Iobrim,Brimonidine,Alpha Agonist,FDC ltd.,Brimonidine 0.2% vs Timolol 0.5% Multicenter Trial,Archives of Ophthalmology,1997,Level I
Iobrim,Brimonidine,Alpha Agonist,FDC ltd.,Brimonidine Tartrate 0.2% Twice Daily vs Timolol 0.5% Twice Daily: 1-Year Results in Glaucoma Patients,American Journal of Ophthalmology,1999,Level I
Iobrim,Brimonidine,Alpha Agonist,FDC ltd.,A Randomized Trial of Brimonidine versus Timolol in Preserving Visual Function: Low-Pressure Glaucoma Treatment Study (LoGTS),American Journal of Ophthalmology,2011,Level I
Iopar-SR Capsule,Acetazolamide,carbonic Anhydrase Inhibitor,FDC ltd.,Equivalence of Conventional and Sustained-Release Oral Acetazolamide in Primary Open-Angle Glaucoma,British Journal of Clinical Pharmacology,1989,Level I
Iopar-SR Capsule,Acetazolamide,carbonic Anhydrase Inhibitor,FDC ltd.,Intraocular Pressure Effects of Carbonic Anhydrase Inhibitors in Primary Open-Angle Glaucoma,American Journal of Ophthalmology,1989,Level I
Iotim,Timolol,Betablocker,FDC ltd.,Timolol Maleate: Long-term Efficacy in Chronic Open-Angle Glaucoma,Archives of Ophthalmology,1982,Level I
Iotim,Timolol,Betablocker,FDC ltd.,"Topical Timolol Administration Reduces the Incidence of Glaucomatous Damage in Ocular Hypertensive Individuals: A Randomized, Double-Masked, Long-term Clinical Trial",Archives of Ophthalmology,1989,Level I
Iotim,Timolol,Betablocker,FDC ltd.,Changing Therapy from Timolol to Betaxolol: Effect on Intraocular Pressure in Selected Patients with Glaucoma,Archives of Ophthalmology,1989,Level I
Pilocar,Pilocarpine,Cholinergic Agonist,FDC ltd.,Pilocarpine Therapy in Chronic Open-Angle Glaucoma,American Journal of Ophthalmology,1985,Level I
Pilocar,Pilocarpine,Cholinergic Agonist,FDC ltd.,Pilocarpine Therapy in Chronic Open-Angle Glaucoma: A Multicenter Randomized Clinical Trial,American Journal of Ophthalmology,1985,Level I
Pilocar 4%,Pilocarpine,Cholinergic Agonist,FDC ltd.,Pilocarpine Therapy in Chronic Open-Angle Glaucoma,American Journal of Ophthalmology,1985,Level I
Pilocar 4%,Pilocarpine,Cholinergic Agonist,FDC ltd.,Pilocarpine Therapy in Chronic Open-Angle Glaucoma: A Multicenter Randomized Clinical Trial,American Journal of Ophthalmology,1985,Level I
Zytrav,Travoprost,Prostaglandinanalog,FDC ltd.,Travoprost vs Timolol Multicenter Trial,American Journal of Ophthalmology,2001,Level I
Zytrav,Travoprost,Prostaglandinanalog,FDC ltd.,Travoprost Compared with Latanoprost and Timolol in Patients with Open-Angle Glaucoma or Ocular Hypertension,American Journal of Ophthalmology,2001,Level I
Zytrav,Travoprost,Prostaglandinanalog,FDC ltd.,Travoprost 0.004% with and without Benzalkonium Chloride: Comparison of Efficacy and Safety,British Journal of Ophthalmology,2007,Level I
Alphabet PF,Timolol + Brimonidine,Alpha Agonist+ Betablocker,His Eyeness,Brimonidine/Timolol Fixed Combination Study,Archives of Ophthalmology,2005,Level I
Alphabet PF,Timolol + Brimonidine,Alpha Agonist+ Betablocker,His Eyeness,Brimonidine/Timolol Fixed Combination versus Timolol Monotherapy in Patients with Glaucoma or Ocular Hypertension,Archives of Ophthalmology,2005,Level I
Awerene PF,Travoprost,Prostaglandinanalog,His Eyeness,Travoprost vs Timolol Multicenter Trial,American Journal of Ophthalmology,2001,Level I
Awerene PF,Travoprost,Prostaglandinanalog,His Eyeness,Travoprost Compared with Latanoprost and Timolol in Patients with Open-Angle Glaucoma or Ocular Hypertension,American Journal of Ophthalmology,2001,Level I
Awerene PF,Travoprost,Prostaglandinanalog,His Eyeness,Travoprost 0.004% with and without Benzalkonium Chloride: Comparison of Efficacy and Safety,British Journal of Ophthalmology,2007,Level I
Dorbet PF,Dorzolamide+ Timolol,carbonic Anhydrase Inhibitor+ Betablocker,His Eyeness,Dorzolamide/Timolol Fixed Combination Study Group,American Journal of Ophthalmology,1998,Level I
Dorbet PF,Dorzolamide+ Timolol,carbonic Anhydrase Inhibitor+ Betablocker,His Eyeness,Efficacy and Safety of the Fixed Combinations Latanoprost/Timolol versus Dorzolamide/Timolol in Patients with Elevated Intraocular Pressure,Ophthalmology,2004,Level I
Dorbet PF,Dorzolamide+ Timolol,carbonic Anhydrase Inhibitor+ Betablocker,His Eyeness,Efficacy and Safety of Fixed Combinations of Latanoprost/Timolol and Dorzolamide/Timolol in Open-Angle Glaucoma or Ocular Hypertension,Eye,2010,Level I
Brimochek,Brimonidine,Alpha Agonist,Indoco Remedies,Brimonidine 0.2% vs Timolol 0.5% Multicenter Trial,Archives of Ophthalmology,1997,Level I
Brimochek,Brimonidine,Alpha Agonist,Indoco Remedies,Brimonidine Tartrate 0.2% Twice Daily vs Timolol 0.5% Twice Daily: 1-Year Results in Glaucoma Patients,American Journal of Ophthalmology,1999,Level I
Brimochek,Brimonidine,Alpha Agonist,Indoco Remedies,A Randomized Trial of Brimonidine versus Timolol in Preserving Visual Function: Low-Pressure Glaucoma Treatment Study (LoGTS),American Journal of Ophthalmology,2011,Level I
Lashisma,Bimatoprost,Prostaglandinanalog,Intas Pharmaceuticals,24-Month Bimatoprost vs Timolol Trial,American Journal of Ophthalmology,2001,Level I
